filename,width,height,class,xmin,ymin,xmax,ymax
Adachi_20170906151653.jpg,600,600,D10,15,454,484,589
Adachi_20170911105549.jpg,600,600,D01,225,304,304,590
Adachi_20170906151347.jpg,600,600,D00,469,488,589,587
Adachi_20170906151347.jpg,600,600,D00,351,437,451,541
Adachi_20170906151347.jpg,600,600,D00,372,330,582,509
Adachi_20170906093840.jpg,600,600,D20,1,346,203,598
Adachi_20170906144647.jpg,600,600,D00,345,382,416,492
Adachi_20170912133728.jpg,600,600,D44,399,376,546,552
Adachi_20170912133728.jpg,600,600,D00,385,417,468,528
Adachi_20170906151333.jpg,600,600,D01,415,346,598,513
Adachi_20170906151333.jpg,600,600,D00,34,323,235,587
Adachi_20170921105454.jpg,600,600,D44,172,326,351,384
Adachi_20170921105454.jpg,600,600,D44,368,394,585,564
Adachi_20170908143652.jpg,600,600,D43,79,164,598,363
Adachi_20170907145648.jpg,600,600,D01,346,171,542,591
Adachi_20170908143655.jpg,600,600,D43,9,241,598,542
Adachi_20170908104729.jpg,600,600,D01,65,215,255,587
Adachi_20170908100145.jpg,600,600,D01,8,232,233,574
Adachi_20170913105140.jpg,600,600,D01,7,190,183,503
Adachi_20170914154921.jpg,600,600,D43,205,101,350,125
Adachi_20170914154921.jpg,600,600,D43,394,109,527,183
Adachi_20170914154921.jpg,600,600,D00,334,430,384,555
Adachi_20170906105405.jpg,600,600,D00,344,189,533,481
Adachi_20170906105405.jpg,600,600,D00,81,197,294,496
Adachi_20170920144845.jpg,600,600,D01,89,266,142,598
Adachi_20170908150106.jpg,600,600,D44,161,289,540,330
Adachi_20170908150106.jpg,600,600,D01,427,286,588,532
Adachi_20170911112204.jpg,600,600,D10,59,536,268,597
Adachi_20170911112204.jpg,600,600,D10,365,406,600,559
Adachi_20170911111336.jpg,600,600,D43,11,334,600,599
Adachi_20170921111538.jpg,600,600,D44,1,265,99,445
Adachi_20170921111538.jpg,600,600,D01,166,296,299,597
Adachi_20170921111538.jpg,600,600,D44,225,325,398,493
Adachi_20170906093959.jpg,600,600,D44,294,248,329,332
Adachi_20170906093959.jpg,600,600,D01,302,275,448,594
Adachi_20170906153522.jpg,600,600,D11,231,318,421,345
Adachi_20170906153522.jpg,600,600,D01,347,312,518,574
Adachi_20170908101929.jpg,600,600,D01,405,195,448,251
Adachi_20170908101929.jpg,600,600,D11,206,341,592,369
Adachi_20170908101929.jpg,600,600,D44,302,238,361,574
Adachi_20170908104509.jpg,600,600,D11,218,258,538,284
Adachi_20170908104509.jpg,600,600,D44,477,353,597,568
Adachi_20170908104509.jpg,600,600,D11,97,267,241,521
Adachi_20170906154142.jpg,600,600,D44,362,320,594,548
Adachi_20170906154142.jpg,600,600,D44,6,279,172,377
Adachi_20170906154142.jpg,600,600,D01,232,287,341,587
Adachi_20170908135633.jpg,600,600,D44,2,259,595,343
Adachi_20170907135055.jpg,600,600,D11,212,268,423,336
Adachi_20170907135055.jpg,600,600,D01,379,224,471,580
Adachi_20170908143832.jpg,600,600,D10,20,305,589,382
Adachi_20170912142045.jpg,600,600,D11,272,416,596,439
Adachi_20170912142045.jpg,600,600,D11,252,478,596,503
Adachi_20170912142045.jpg,600,600,D01,330,341,409,584
Adachi_20170907134609.jpg,600,600,D00,348,293,393,586
Adachi_20170907151533.jpg,600,600,D01,423,352,578,591
Adachi_20170907151533.jpg,600,600,D44,393,200,596,446
Adachi_20170907151533.jpg,600,600,D01,55,292,258,591
Adachi_20170906150438.jpg,600,600,D01,335,303,435,415
Adachi_20170908104512.jpg,600,600,D01,223,185,275,268
Adachi_20170908104512.jpg,600,600,D01,52,304,217,581
Adachi_20170908101551.jpg,600,600,D00,95,244,249,573
Adachi_20170911102326.jpg,600,600,D44,88,406,252,594
Adachi_20170911102326.jpg,600,600,D01,360,309,583,580
Adachi_20170914111302.jpg,600,600,D44,134,330,249,595
Adachi_20170914111302.jpg,600,600,D01,428,302,600,468
Adachi_20170912152543.jpg,600,600,D11,269,448,599,483
Adachi_20170912152543.jpg,600,600,D01,209,437,286,597
Adachi_20170908103303.jpg,600,600,D01,187,156,270,269
Adachi_20170908103303.jpg,600,600,D01,83,284,230,557
Adachi_20170906151521.jpg,600,600,D11,137,399,447,440
Adachi_20170906151521.jpg,600,600,D01,405,406,565,590
Adachi_20170921145836.jpg,600,600,D20,111,319,544,538
Adachi_20170914105139.jpg,600,600,D43,111,321,595,569
Adachi_20170913105344.jpg,600,600,D00,214,381,271,469
Adachi_20170906144711.jpg,600,600,D01,329,268,394,598
Adachi_20170908103340.jpg,600,600,D01,221,285,305,575
Adachi_20170907145406.jpg,600,600,D01,31,252,257,478
Adachi_20170921110557.jpg,600,600,D01,12,316,126,596
Adachi_20170906153250.jpg,600,600,D00,421,388,560,572
Adachi_20170921134259.jpg,600,600,D44,76,334,311,596
Adachi_20170914152345.jpg,600,600,D01,265,137,363,283
Adachi_20170921105450.jpg,600,600,D43,1,355,598,599
Adachi_20170906155204.jpg,600,600,D01,208,273,269,348
Adachi_20170906155204.jpg,600,600,D01,1,356,200,530
Adachi_20170906155204.jpg,600,600,D01,377,313,590,554
Adachi_20170912143351.jpg,600,600,D01,332,326,420,598
Adachi_20170921154826.jpg,600,600,D01,455,425,600,559
Adachi_20170921154826.jpg,600,600,D00,115,349,188,587
Adachi_20170908101021.jpg,600,600,D01,413,242,595,519
Adachi_20170912143327.jpg,600,600,D01,505,311,582,586
Adachi_20170906093912.jpg,600,600,D01,173,238,259,430
Adachi_20170906093912.jpg,600,600,D44,172,327,408,434
Adachi_20170908104453.jpg,600,600,D11,227,305,504,328
Adachi_20170908104453.jpg,600,600,D11,179,399,591,433
Adachi_20170908104453.jpg,600,600,D01,100,417,192,590
Adachi_20170908104453.jpg,600,600,D01,219,230,273,323
Adachi_20170906153143.jpg,600,600,D44,313,314,488,592
Adachi_20170906153143.jpg,600,600,D01,313,314,489,592
Adachi_20170908104009.jpg,600,600,D00,236,271,522,552
Adachi_20170911101121.jpg,600,600,D44,292,485,354,600
Adachi_20170911101121.jpg,600,600,D11,123,472,255,495
Adachi_20170913113755.jpg,600,600,D01,306,118,387,509
Adachi_20170913113755.jpg,600,600,D00,416,143,587,270
Adachi_20170908103730.jpg,600,600,D20,171,240,599,553
Adachi_20170907152408.jpg,600,600,D00,368,201,524,380
Adachi_20170907152408.jpg,600,600,D00,185,199,311,409
Adachi_20170907135847.jpg,600,600,D01,443,220,592,369
Adachi_20170907135847.jpg,600,600,D00,367,359,463,588
Adachi_20170912152356.jpg,600,600,D00,405,293,585,575
Adachi_20170908104552.jpg,600,600,D20,181,425,416,584
Adachi_20170907134341.jpg,600,600,D01,404,221,578,453
Adachi_20170907134341.jpg,600,600,D01,9,296,191,488
Adachi_20170906105352.jpg,600,600,D00,369,245,511,427
Adachi_20170906105352.jpg,600,600,D00,123,229,260,407
Adachi_20170914151920.jpg,600,600,D43,89,107,514,206
Adachi_20170914151920.jpg,600,600,D01,89,207,182,416
Adachi_20170906102601.jpg,600,600,D44,409,253,600,464
Adachi_20170906102601.jpg,600,600,D00,234,235,539,582
Adachi_20170912143048.jpg,600,600,D11,222,446,594,468
Adachi_20170912143048.jpg,600,600,D11,235,399,595,428
Adachi_20170912143048.jpg,600,600,D20,370,372,504,421
Adachi_20170912143048.jpg,600,600,D20,281,442,401,486
Adachi_20170908100125.jpg,600,600,D01,97,418,171,496
Adachi_20170908100125.jpg,600,600,D11,5,479,591,518
